Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
1168290.3,Bifidobacterium animalis subsp. lactis B420,Bifidobacterium animalis subsp. lactis B420,1168290,Complete,B420,,,,,,,,2012-05-07T00:00:00Z,,PRJNA156973,SAMN02603214,GCA_000277325.1,,CP003497.1,NC_017866.1,DuPont,complete,,,,1,,1,1938595,60.5,1604,1561,,,"B. animalis subsp. lactis is a Gram-positive lactic acid bacterium commonly found in the gut of healthy humans, which has the ability to survive in the GIT.",,,,,,,,,"Human, Homo sapiens",,,,,,,,,Positive,Bacilli,No,,Mesophilic,39-40C,NonHalophilic,Anaerobic,Multiple,Commensal,"B. animalis subsp. lactis is a Gram-positive lactic acid bacterium commonly found in the gut of healthy humans, which has the ability to survive in the GIT. This strain has also been demonstrated to modulate the host immune response, adhere to human epithelial cells in vitro and utilize non-digestible oligosaccharides.",,99.6,99.4,100,,,Good,2014-12-08T22:10:27.474Z,2015-03-16T03:17:09.594Z
1207542.9,Bifidobacterium bifidum LMG 13195 strain JCM 7004,,1207542,Complete,JCM 7004,,,,,,,,2017-09-15T00:00:00Z,28814130,PRJDB5664,SAMD00078038,GCA_003573955.1,,AP018131,,"Graduate School of Biostudies, Kyoto University",,PacBio RSII,540x,SMRT Analysis v. 2.3.0,1,,1,2261666,62.634182,2098,2106,,intestine of infant,isolated from intestine of infant,,,,,,,,env_biome:human gut,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Bifidobacterium bifidum JCM 7004 was isolated from intestine of infant. As a symbiotic species in breast-fed infants' gut, Bifidobacterium bifidum is characterized by its unique properties in the ability to degrade complex carbohydrates such as human milk oligosaccharides and mucin glycans. Comprehension from the genome analysis of B. bifidum strain may be useful for the unveiling mechanisms of symbiosis between Bifidobacteria and human.;many frameshifted proteins;validation errors",biomaterial_provider:JCM,99.3,97,100,7.3,,Good,2018-10-03T15:37:06.018Z,2018-10-03T15:37:06.018Z
1254439.12,Bifidobacterium thermophilum RBL67,Bifidobacterium thermophilum RBL67,1254439,Complete,RBL67,,,,,, ,,2013-03-20T00:00:00Z,,PRJNA179141,SAMN02603226,GCA_000347695.1,,CP004346.1,NC_020546.1,ETH Zurich,complete,Sanger dideoxy sequencing; 454; Illumina,900X,Lasergene SeqMan Pro v. 8.0.2; CLC Genomic,1,,1,2291643,60.1,1839,1845,,baby feces,isolated from baby feces,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"B. thermophilum RBL67 was in previous studies associated with bacteriocin production and probiotic properties. Therefore, we decided to sequence the whole genome to assess its potential probiotic properties on genome level.  Sample isolated from baby feces.",,99.6,99.5,100,0.3,,Good,2014-12-08T22:10:29.118Z,2015-03-16T03:17:09.594Z
1322347.4,Bifidobacterium longum E18,,1322347,Complete,E18,,,,,,,,2015-03-23T00:00:00Z,,PRJNA197134,SAMN02471972,GCF_000497735.1,,AUYD01000000,,Ulm University,,454; ABI3730,19.6x,Newbler v. 2.3,1,,1,2372966,59.96,2084,1862,,feces from a healthy adult,,Apr-00,Germany,Germany: Ulm,,,,,,"Human, Homo sapiens",,,,,,,,,Positive,Bacilli,No,,Mesophilic,37C,,Anaerobic,HostAssociated,,This strain will be sequenced for comparative genome analysis.,,99.9,99.6,100,,,Good,2016-01-17T15:33:52.002Z,2016-01-17T15:33:52.002Z
1385938.3,Bifidobacterium breve 12L,Bifidobacterium breve 12L,1385938,Complete,12L,,,,,, ,,2014-02-14T00:00:00Z,,PRJNA214949,SAMN03081478,GCA_000568955.1,,CP006711.1,NZ_CP006711.1,University of Parma,complete,Roche 454 titanium,30x,Newbler v. Oct 2012,1,,1,2244624,58.9,1907,1765,,human milk,isolated from human milk,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"'Bifidobacterium breve 12L complete genome sequencing, strain isolated from human milk.'",,99.8,99.7,100,,,Good,2014-12-08T22:10:28.088Z,2015-03-16T03:17:09.594Z
1385939.3,Bifidobacterium breve JCM 7017,Bifidobacterium breve JCM 7017,1385939,Complete,JCM 7017,,,,,, ,,2014-02-14T00:00:00Z,,PRJNA214950,SAMN03081479,GCA_000568975.1,,CP006712.1,NZ_CP006712.1,University College Cork,complete,Roche 454 titanium; Illumina Hiseq/2000,200x,Newbler; Abyss; v. Nov. 2012,1,,1,2288919,58.7,1944,1770,,infant faeces,isolated from infant faeces,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"'Bifidobacterium breve JCM 7017 complete genome sequencing, strain isolated from infant faeces.'",,99.7,99.6,100,,,Good,2014-12-08T22:10:28.254Z,2015-03-16T03:17:09.594Z
1385940.3,Bifidobacterium breve JCM 7019,Bifidobacterium breve JCM 7019,1385940,Complete,JCM 7019,,,,,, ,,2014-02-14T00:00:00Z,,PRJNA214951,SAMN03081480,GCA_000569015.1,,CP006713.1,NZ_CP006713.1,University College Cork,complete,Roche 454 titanium; Illumina Hiseq/2000,200x,Newbler; Abyss; v. Nov. 2012,1,,1,2359009,58.6,2073,1915,,adult faeces,isolated from adult faeces,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"'Bifidobacterium breve JCM 7019 complete genome sequencing, strain isolated from adult faeces.'",,99.7,99.6,100,,,Good,2014-12-08T22:10:28.263Z,2015-03-16T03:17:09.594Z
1385941.3,Bifidobacterium breve NCFB 2258,Bifidobacterium breve NCFB 2258,1385941,Complete,NCFB 2258,,,,,, ,,2014-02-14T00:00:00Z,,PRJNA214954,SAMN03081481,GCA_000569035.1,,CP006714.1,NZ_CP006714.1,University College Cork,complete,Roche 454 titanium; Illumina Hiseq/2000,200x,Newbler; Abyss; v. Nov. 2012,1,,1,2315904,58.7,1978,1834,,infant faeces,isolated from infant faeces,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"'Bifidobacterium breve NCFB 2258 complete genome sequencing, strain isolated from infant faeces.'",,99.9,99.4,100,,,Good,2014-12-08T22:10:28.295Z,2015-03-16T03:17:09.594Z
1385942.3,Bifidobacterium breve 689b,Bifidobacterium breve 689b,1385942,Complete,689b,,,,,, ,,2014-02-14T00:00:00Z,,PRJNA214955,SAMN03081482,GCA_000569055.1,,CP006715.1,NZ_CP006715.1,University of Parma,complete,Roche 454 titanium,30x,Newbler v. Oct 2012,1,,1,2331707,58.7,1991,1821,,infant faeces,isolated from infant faeces,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"'Bifidobacterium breve 689b complete genome sequencing, strain isolated from infant faeces.'",,99.9,99.9,100,,,Good,2014-12-08T22:10:28.162Z,2015-03-16T03:17:09.594Z
1447715.5,Bifidobacterium pseudolongum PV8-2,,1447715,Complete,PV8-2,,,pathovar 8-2,,,,,2014-12-09T00:00:00Z,-,PRJNA234364,SAMN03253091,GCA_000800475.1,,CP007457.1,"NZ_CP007457.1,NZ_CP007458.1",ETH Zurich,,PacBio,290x,SMRT-Analysis software v. 2.1 using,1,1,2,2036949,63.24,1696,1582,,human infant feces,,11-Mar-10,Kenya,Kenya,,,,,,"Human, Homo sapiens",,,,,,,,,Positive,,,No,,,,,,,comparative genome analysis of bifidobacteria,,99.3,99.1,99.4,,,Good,2015-03-12T13:45:26.594Z,2015-03-16T03:17:09.594Z
